,predicted_scores,similarity_scores
rxn08463_c,0.99995942,0.4082659784814797
rxn04791_c,0.99995942,0.40826597848147905
rxn23413_c,0.9999593680000001,0.781745202476646
rxn33967_c,0.999959234,0.8888856796256723
rxn32805_c,0.9999592180000001,0.7999896017469085
rxn04004_c,0.9999590319999999,0.8198859943580201
rxn30075_c,0.9999589440000001,0.7142751039809884
rxn23730_c,0.9999588779999999,0.6350059597082818
rxn00093_c,0.9999588679999999,0.6741903028927417
rxn08444_c,0.9999588679999999,0.6324308699302442
rxn09470_c,0.999958762,0.736553317773217
rxn09468_c,0.999958734,0.7363494397814063
rxn09466_c,0.999958614,0.7380136713870864
rxn09472_c,0.999958614,0.7366621780628225
rxn09465_c,0.999958614,0.7580326610663071
rxn13149_c,0.99995844,0.5217491947499511
rxn33879_c,0.999958132,0.5714126559714825
rxn30058_c,0.99995761,0.7999896017469084
rxn00734_c,0.9999575139999999,0.6713398439340204
rxn00829_c,0.9999573740000001,0.5713742330965925
rxn29962_c,0.999957122,0.75
rxn38886_c,0.9999570559999998,0.8333333333333335
rxn00245_c,0.999956826,0.4758002217991879
rxn15040_c,0.999956826,0.4758002217991879
rxn09467_c,0.9999563260000001,0.7516268068643679
rxn09469_c,0.999956302,0.7538468378482522
rxn00116_c,0.999956272,0.7878191753281266
rxn09464_c,0.9999562019999999,0.7712706271645189
rxn09471_c,0.9999562019999999,0.7565686139332629
rxn22819_c,0.9999562000000001,0.617224860180914
rxn09462_c,0.999956178,0.7417453255348526
rxn00257_c,0.999955868,0.6172248601809138
rxn08598_c,0.9999556220000001,0.7499675029247428
rxn00779_c,0.999955602,0.8447385138078419
rxn26338_c,0.999955598,0.7999896017469086
rxn22818_c,0.999955304,0.732722902035313
rxn19351_c,0.9999552679999999,0.5669677640755195
rxn34003_c,0.999954988,0.8854423481465985
rxn16140_c,0.9999548199999999,0.7277773835757845
rxn00114_c,0.9999547019999999,0.9238679981524283
rxn12217_c,0.9999546500000001,0.6708378314238517
rxn00507_c,0.9999544439999999,0.8447385138078423
rxn00370_c,0.999954086,0.6761095939888514
rxn33900_c,0.9999539000000001,0.7378754433061223
rxn00221_c,0.999953586,0.5669572365014737
rxn05493_c,0.999953484,0.6499365964942582
rxn33907_c,0.9999534720000002,0.7378754433061223
rxn25829_c,0.999953462,0.6741903028927418
rxn00613_c,0.9999531599999999,0.7999896017469087
rxn10862_c,0.99995303,0.8451479775642774
rxn00160_c,0.99995279,0.799989601746905
rxn00166_c,0.999952786,0.6666377816291192
rxn00249_c,0.9999527500000001,0.7171202984927927
rxn00064_c,0.999952386,0.6741903028927418
rxn32035_c,0.999952342,0.6425163319443705
rxn10951_c,0.9999523179999998,0.6707826076497165
rxn00568_c,0.9999520800000001,0.9263673926147198
rxn33990_c,0.9999520140000001,0.5164022540155179
rxn09167_c,0.99995189,0.4629186451356855
rxn00570_c,0.9999516319999999,0.599979203493817
rxn10665_c,0.9999515800000001,0.9290873617389288
rxn29867_c,0.999951392,0.6499365964942582
rxn23755_c,0.9999509699999999,0.599979203493817
rxn09632_c,0.99995086,0.8933168019327804
rxn13966_c,0.9999507519999999,0.816984805900246
rxn33754_c,0.9999505359999998,0.7999896017469084
rxn00271_c,0.9999505,0.755921148216054
rxn00407_c,0.999950468,0.7070883992594363
rxn16385_c,0.999950312,0.6030298143460754
rxn00451_c,0.999950248,0.6030298143460754
rxn00121_c,0.9999502419999999,0.7499675029247429
rxn21088_c,0.99995022,0.6944831967676286
rxn21089_c,0.99995022,0.6739638572247755
rxn21090_c,0.99995022,0.6739638572247755
rxn21081_c,0.99995022,0.6955876506220807
rxn21299_c,0.99995022,0.6640423233337006
rxn00109_c,0.9999499980000002,0.8198859943580202
rxn00429_c,0.9999496499999999,0.8198859943580203
rxn00372_c,0.999949554,0.7537667828335198
rxn10804_c,0.9999494500000001,0.6666666666666667
rxn11132_c,0.9999491880000001,0.6859943405700353
rxn10138_c,0.999949148,0.8451479775642774
rxn00270_c,0.9999491199999999,0.6928023127249107
rxn00963_c,0.999949076,0.7977186490296803
rxn09937_c,0.9999489619999998,0.6259238463160064
rxn22820_c,0.99994896,0.7070883992594432
rxn33975_c,0.999948764,0.7999896017469084
rxn14209_c,0.9999483999999998,0.816984805900246
rxn11004_c,0.999948332,0.617224860180914
rxn33940_c,0.999948232,0.75
rxn00284_c,0.999948192,0.7171202984927928
rxn13150_c,0.99994806,0.8090353738726914
rxn09402_c,0.999948004,0.6666377816291124
rxn00262_c,0.999947852,0.6804236436904834
rxn16646_c,0.999947652,0.8198859943580203
rxn14002_c,0.99994742,0.816984805900246
rxn23850_c,0.9999473099999999,0.8198859943580206
rxn00118_c,0.9999471679999999,0.6761095939888511
rxn00690_c,0.9999471159999999,0.6172248601809138
rxn23961_c,0.9999471,0.816984805900246
rxn16422_c,0.9999471,0.816984805900246
rxn29873_c,0.999946976,0.6499365964942582
rxn16368_c,0.999946958,0.6666666666666667
rxn00535_c,0.9999469320000001,0.5070712104134256
rxn00724_c,0.9999467419999999,0.5070712104134254
rxn09938_c,0.999946546,0.7142751039809884
rxn00252_c,0.999946514,0.599979203493815
rxn20839_c,0.999946456,0.6761095939888514
rxn05635_c,0.9999463499999999,0.8451479775642774
rxn01191_c,0.999946284,0.7765880855922471
rxn10860_c,0.9999462600000001,0.6499365964942582
rxn05559_c,0.9999462600000001,0.6499365964942582
rxn23076_c,0.999946214,0.6674073637124665
rxn02524_c,0.999946214,0.6674073637124665
